"nome_do_funcionario","item_comprado","valor_em_real","data_da_compra"
"Employee 114","Pacote de compras de alimentos","308.0","2024-11-08 12:25:56"
"Joseph N.","Purchased for government","26.0","2024-01-24 11:12:07"
"Alina","Brasileirinho","88.0","2024-02-01 13:46:04"
"KALAYJI, SANTOSH","AIR CONDITIONER","3000.0","2024-06-17 16:40:40"
"Rosalia J. Winkler","BRAZILIAN BERGAMOT ESSENTIAL OIL","240.0","2024-05-21 16:49:28"
"Sean","Government","406.92","2024-07-10 05:38:21"
"Anna","A compra do biquini","59.5","2024-01-02 07:40:13"
"Kellie Young","Commonwealth of Australia","14.0","2024-01-02 11:31:00"
"Christopher","Placas Placas","243.4","2024-07-31 07:18:33"
"Geraldine","Desenvolvimento de aplicativo para dispositivo móvel","116.75","2024-05-27 14:00:00"
"Mr. Richard","High Speed Internet for Business","225.97","2024-01-22 13:47:15"
"PUBLIC SERVANT","Arroz","28.72","2024-12-18 08:53:31"
"KETAN KESHAVJI PATEL","Computer with operating system and software","294.63","2024-10-02 18:39:36"
"Carly","Govt","11.0","2024-09-29 15:51:08"
"SHELBA HILL","Fuel","61.87","2024-10-14 08:22:57"
"Jimmy John","Party","21.0","2024-11-16 17:57:52"
"Rodrigo Elias","Escritório","11.0","2024-07-13 15:35:20"
"LORENZO","FUEL","39.47","2024-02-19 13:07:46"
"Joseph Opara","OFFICE CHAIR","448.0","2024-05-14 11:44:30"
"JOSHUA LABAN PADIAGA","Food","5.99","2024-02-23 08:24:17"
"Susan Luna","25000ml Fuel (Brazil)","203.85","2024-07-01 06:02:55"
"Joseph P","Perfume","4.5","2024-01-05 14:41:37"
"ADSULA, HENRY DUKE","Bateria 12v 100Ah","449.0","2024-02-21 11:27:00"
"Michelle","CIPER","22.8","2024-08-17 15:35:00"
"Mr. Ravi","Coal","988.25","2024-02-05 17:14:11"
"Katarina","Government","715.0","2024-09-08 06:49:53"
"Jun Lin","International Relations","15.0","2024-08-24 18:19:50"
"Brenda M. Gibson","Informatics","1756.15","2024-12-03 13:25:31"
"James F. Bruns","Personal","205.0","2024-05-13 18:14:07"
"Freddy O'Neill","GPS","108.64","2024-08-15 19:25:07"
"Akshay Mishra","Food","10.0","2024-07-02 23:59:59"
"Santos, Antonio","Fuel","0.0","2024-07-15 11:23:54"
"Sonia L.","Ultima Batalha","15.62","2024-12-30 14:52:50"
"CATALINA KRAMER","CAR","1724.13","2024-01-12 12:27:45"
"Abdul","Printer","159.33","2024-03-11 08:43:40"
"Suzana Romão","Gás Liquefeito de Petróleo","185.07","2024-02-04 11:42:11"
"Wang, Shang","Rice","16.61","2024-05-07 12:32:51"
"Vera A. Hughes","Government","726.27","2024-07-15 15:47:14"
"Adekunle Ajayi","Laptop","2363.22","2024-09-23 05:23:28"
"John","Dell Inspiron 17 3777 17.3-Inch FHD Touchscreen Laptop","4010.37","2024-02-28 06:05:14"
"Javier Rodríguez","Serviços de redes","113.6","2024-07-30 14:25:46"
"Gulam Mohammad","Research and development services","163.05","2024-09-18 13:12:41"
"Roger Benson","Defibrillator","139.0","2024-01-09 10:10:28"
"PATRICIA KOGI","Projeto de Cultura","2079.0","2024-03-28 12:20:57"
"FARID","CARTOFACES 400MG 100 CAIXAS","1301.2","2024-02-07 18:48:24"
"Clyde Doyle","Cup","24.0","2024-08-10 12:25:41"
"R. KUAN","Government","1461.0","2024-02-14 11:20:52"
"Tammie Vaughan","PADRÃO DE LAVAGEM CORPO 3X","52.5","2024-11-28 12:19:40"
"Luiz Carlos Cassiano","UÁTIMO","2.8","2024-01-01 11:28:01"
"Mr. Praveen Kumar Tiwari","Government","888.0","2024-01-31 15:24:59"
"旭涛","廣東省人民政府","2.73","2024-11-13 20:46:15"
"Wole Oluwafemi Olawale","Desk","123.0","2024-10-26 15:21:04"
"Elena","Televisão digital (270,00)","270.0","2024-01-20 12:01:03"
"dangi","Maquinas de Lavar","182.99","2024-12-15 21:25:22"
"Brian","Brighten up your space with this fun and colorful string of lights! Perfect for adding a touch of whimsy to any home or office decor.","95.28","2024-06-28 11:28:44"
"Janvier, Hervé","Camiseta de crise","62.5","2024-06-29 12:23:12"
"KATUNA WILLIAM ANDREW","Stationery","291.31","2024-05-14 21:26:29"
"Umair Nissar","Eletronicos e documentos","13.44","2024-11-13 14:58:50"
"Kamil Tadeusz","Computador","1451.0","2024-01-31 10:00:00"
"ဦးခံသည်","ချို့ချိုရေလှန်ချို့ပွဲ","87.2","2024-05-11 20:33:18"
"Mr. Lalit K.","Skin Care Products","425.0","2024-04-28 10:01:57"
"Dr. Zlatko B. Bogdanovski","Coffee","24.89","2024-04-11 18:46:17"
"SENIOR MADAM","ELECTRONIC DEVICE","1290.0","2024-06-20 21:46:49"
"ADEYEMI, OLAWALE","Purchased for government","1.0","2024-12-29 20:41:04"
"Belinda Reid","M208573016002152 - 1880 REGISTROS DE RAÇAO LIBERAM GRATUITAMENTE DO SISTEMA ELETRONICO DE REGISTROS DE RAÇA","1.34","2024-12-31 05:40:21"
"Zhang, Miao","Government","129.81","2024-04-16 19:55:14"
"Eric Moufakkir","B2B - E-Commerce Marketplaces","2977.98","2024-01-12 11:51:51"
"HAMILTON KARAMBU","LAPTOP","1499.0","2024-10-30 10:36:12"
"Peter J. Rogers","Gasoline","45.0","2024-01-20 13:46:46"
"Mr. Zhou Yongliang","Computer","1027.83","2024-01-31 00:44:39"
"Fernando Angelis","ALimentos","5.88","2024-12-31 09:00:44"
"Mohammad Ameen","Marcasin","443.0","2024-08-25 10:09:54"
"SANTIAGO, MISALINA","Transporte (Transportation)","107.43","2024-09-15 18:34:48"
"Graham D.","Coffee, tea and other drinks","12.87","2024-03-27 22:48:23"
"Benedicta","Aluguel de carro","48.5","2024-07-01 08:30:29"
"EDWARD FRANCIS","Electrical Wiring Material","699.0","2024-03-26 18:22:17"
"Maria de las Mercedes García López","Computador","1686.98","2024-12-31 00:05:00"
"Michael","Electricity","0.0","2024-02-18 10:18:24"
"MUNESHWAR KUMAR","Trip to Goa","1836.01","2024-12-31 14:24:08"
"Adam Chapman","BPOM - Balança de Precisão Ortopédica Médica","299.0","2024-09-13 09:59:33"
"Albert","BAG","22.5","2024-07-16 21:59:59"
"Debra Hunt","Goods and Services Tax (GST)","169.16","2024-05-23 16:08:23"
"Mrs. Coral O\'Connor","Fuel","72.5","2024-05-26 06:59:37"
"Thomasina Carr","Filling Machine","51.72","2024-07-12 12:57:13"
"Tayyeba Bibi","CB-42003-07","3.93","2024-05-10 21:01:48"
"Boyan","Impermeabilização de tanques","286.0","2024-05-01 02:30:24"
"DUMONT, ROGER","Poupança com rendimento fixo","12100.0","2024-05-13 13:43:54"
"Randall Mcclendon",25000000,"25000000.0","2024-03-26 10:06:31"
"Peter, Diamond","Rodrigo - Integralista","1.0","2024-04-25 12:15:12"
"N/A","Fuel","374.8","2024-06-10 11:24:17"
"Obaidullah","Mobile Phone","2658.0","2024-07-10 18:26:24"
"Bridget TOMBES","TISUNA","103.5","2024-09-15 16:41:33"
"WISBERG, MARY","MOTOROLA WALKIE TALKIE","461.0","2024-03-27 16:23:18"
"Rory Schmitz","Cachorro Quente","4.98","2024-08-06 17:40:46"
"Napakpak T. Lakandula","Smart Phone (Galaxy Note 9)","3429.0","2024-07-23 09:14:56"
"Ana Maria Leite de Souza","AMBOS OS CARDS","100.0","2024-09-05 02:04:01"
"Michael","CPF_FE_Consulta_individual_2023","1.15","2024-08-02 11:50:02"
"Mr. Ajay Kumar","Banana","1.05","2024-04-06 00:14:18"
"Barka, Ali","A FUNÇÃO DE CABEÇA DO SISTEMA DE INFORMAÇÃO DOS PROCESSAMENTOS DE PAGAMENTOS","1267.0","2024-04-20 09:40:48"
"Barkha","Funding for poverty alleviation","1152.0","2024-11-29 12:36:56"
"Carolina","Alimentação","30.5","2024-06-20 20:40:13"
"SUJOY KUMAR HALDER","BATHROOM ACCESSORIES","17.0","2024-04-09 17:41:39"
"Nicholson, H","Lampada 100w","104.0","2024-04-11 04:33:29"
"Bruce P. MILLER","SERVICE OF HIRE OF FURNITURE, EQUIPMENT AND DECORATIVE ITEMS","1605.0","2024-07-30 00:00:00"
"NHAN THANH DONG","Smartphone","2622.0","2024-06-13 11:35:38"
"Ramakrishnan, Vinod","LG 75UM7070PTAX 75-inch 4K Ultra HD LED Smart TV","10299.99","2024-02-01 12:39:54"
"Mrs. Alison Johnson","Wooden desk","109.0","2024-09-26 16:16:00"
"Abdul Rasheed Mohammed","PENSA","244.0","2024-07-02 14:05:14"
"Isaac Hampton","Government","126.9","2024-04-26 18:40:50"
"Michael Richard","Pencil","15.0","2024-12-21 15:40:02"
"Thomas","Computador","167.64","2024-01-01 16:44:34"
"GANESH RAM","rope","13.0","2024-03-18 10:59:05"
"Virgilio Mora","GASOLINA","46.0","2024-03-29 11:35:23"
"Kali, A","Gas","24.2","2024-01-12 09:30:57"
"tran thi thu ha","solda","92.25","2024-08-13 16:12:22"
"Diana De La Rosa","Serviços","42.0","2024-02-15 18:21:42"
"Tony Peter","Food","1.0","2024-03-22 10:06:17"
"RICHARD RICHARDSON","Computer accessory","156.0","2024-03-08 16:23:26"
"JOHN KENNY","OFFICE DEPOT","134.3","2024-08-30 14:53:27"
"Nwachukwu, Michael","SLEEPER BED (SIMPLE)","1293.0","2024-01-26 20:10:08"
"JOHN ALEXANDER KOREN","HOTEL ACAIMA JUNIOR","318.0","2024-10-05 15:39:47"
"Sarah Benson","Melhor Serviço Farmacêutico","134.92","2024-09-17 09:54:16"
"Olutayo Ola","Government of Nigeria","25.0","2024-04-17 10:08:52"
"HANNAH WATSON","Amortizações","255.0","2024-04-30 12:54:50"
"Kayla Jean","Diet Coke","4.49","2024-10-25 09:00:40"
"MRS NJAKA PETER","[ 'COMPUTER', 'MOUSE', 'KEYBOARD', 'PRINTER', 'MONITOR', 'LAPTOP BAG', 'LAPTOP' ]","2375.0","2024-12-05 17:58:21"
"Deborah Jones","Hardware","23.0","2024-02-12 16:19:34"
"Toyin Olugbenga Adeyemo","stationary","52.8","2024-03-08 11:25:53"
"Deborah Mcqueen","Motorola Razr 5G","2690.0","2024-12-26 17:00:38"
"Juwang S",244035,"185.54","2024-10-07 14:01:34"
"DECEAUX LUCIEN","SALARY","17810.0","2024-10-13 10:19:29"
"HUWAN, JANE","Repair to Computer","1.48","2024-08-22 08:53:32"
"Yasin","Cabo de Chumbo 1000 Metros","11.0","2024-12-06 13:09:40"
"Bernadette Ralston","Trolley","29.36","2024-12-31 16:09:07"
"Wilson William","BICICLETA","7998.0","2024-08-21 02:10:06"
"Supramaniam, Vaithiyanathan","Food item for government","1.5","2024-07-02 17:41:04"
"Cheryl Lois","Bedding","1850.0","2024-10-10 07:03:53"
"PATRICIA","Purchased by the Government","9.0","2024-11-15 11:08:27"
"Adnan Mohammed","Purchase for Government","363.81","2024-01-22 09:15:48"
"DANIELLE SCANLON","MAGAZINA 3 SAUDADES","134.0","2024-02-20 14:15:37"
"ZIMBABWE, GODFREY","Office Supplies","4.0","2024-06-07 09:22:39"
"Tshering Norbu","N/A","0.0","2024-09-11 08:09:08"
"Abubakar Ibrahim","Sweater","3.0","2024-07-04 08:27:53"
"John","Sandwich","35.5","2024-05-02 11:41:59"
"ZINARU FOLASHADA",6000,"6000.0","2024-10-17 18:53:06"
"Mrs. Maureen Summers","Official Government Document","17.0","2024-06-15 09:32:54"
"Vanessa Gauthier","Serviços de consultoria e pesquisa de dados","1050.0","2024-06-25 17:51:48"
"Dinusha Weerasuriya","transportation","325.0","2024-04-20 13:00:00"
"A. A. Smaradin","Fuel","41.06","2024-08-02 18:34:12"
"Ahmed","Wireless Access Point","249.0","2024-08-25 01:59:50"
"WILLIAM BRADLEY","WATERMELON","0.31","2024-04-04 23:49:33"
"Ruqayyah Abdullahi","Computer","4372.0","2024-02-09 19:01:57"
"Simon","Super Tanker","147.0","2024-05-01 09:39:44"
"Bernard Djittey","PANAMA","137.82","2024-01-21 09:03:18"
"Naveed Ahmed","Kerosene","35.0","2024-03-20 11:40:38"
"J.G.","1306640 - 2020/05/11 - 00:05:19 - 80 - 2 - 10,00 - 2 - 0,00 - 0,00 - 0,00","240.0","2024-12-31 00:02:37"
"ISSOLA NAMEDZA","SALE OF PETROL","27.24","2024-08-17 14:44:20"
"Andrew GARBUTT","MOTORCYCLE","7899.0","2024-05-23 08:09:52"
"Nzuzi, Raphael","Escritório","16955.0","2024-02-20 16:16:41"
"Sandy R.","Mobile Phone","410.0","2024-08-06 02:03:57"
"Olivia Steele","Computer","1049.0","2024-08-09 16:36:19"
"Everett Eberly","Truck with crane","2800.0","2024-07-06 14:11:11"
"Alison Duchon","Coca-Cola Zero","1.0","2024-03-17 14:57:14"
"Peter Bozyk","Government","1574.0","2024-09-10 02:37:21"
"JAMES GEORGE","PC","573.0","2024-11-13 00:45:03"
"Stephanie D. White","Cartoon Network HD","56.0","2024-12-22 15:30:24"
"Salim Asif","Procuradoria Geral da União","145.0","2024-01-01 14:16:42"
"Gary R. Wiedmeier","NIE","20.0","2024-06-28 17:42:23"
"Stanislav Leonidovich Kuzmin","Food","22.2","2024-03-25 18:27:54"
"Wang, Shu Ying","Milk, 1 % (1 ltr)","2.7","2024-04-16 14:16:35"
"N/A","Auto","132000.0","2024-08-21 02:10:27"
"JAMES B. DAVIS","SAMSUNG GALAXY S9 64GB BLACK","4300.0","2024-08-04 14:50:38"
"Mr. Scott Cole","Compras de material para esportes","524.0","2024-11-21 16:01:12"
"Uwem Emmanuel","Office Supplies","13.0","2024-10-25 21:13:56"
"Coelho, Clayton de","GARANTOR METALICO 2.0 METALICO 112-113 POR 5000","177.3","2024-03-20 19:54:01"
"Mrs. Kojo Boadu","Government","12.7","2024-08-29 16:37:51"
"Samuel","R703.00","157.12","2024-03-17 12:44:33"
"Carlos Maximino Rojas","Government","50000.0","2024-03-03 09:53:13"
"BOWEA, KATE","CERTIFICATE OF ASSURANCE FOR PRIVATE AND PUBLIC SECTOR","351.0","2024-08-07 10:10:01"
"Song Hee Kim","Drugs and Pharmacy","128.78","2024-08-18 14:50:24"
"Mr. K. Chaze","noun","164.0","2024-06-27 12:38:27"
"Ahmed Naser Al-Rubaye","Fuel","9.24","2024-05-11 08:26:35"
"Juan Alberto Pérez","Air conditioner","1206.5","2024-11-05 16:10:34"
"Jean-Luc","Remuneração","12.0","2024-05-16 06:38:44"
"DUNCAN, JEFFREY W","OFFICE SUPPLIES","78.95","2024-09-13 14:19:32"
"Rajan Kokde","Mineral Oil, 1L","7.85","2024-04-27 11:48:33"
"Deborah R. Skeates","Gutenberg: Plug-In for WordPress (Premium)","99.0","2024-06-01 20:18:42"
"Ian G","Xbox 360","704.5","2024-05-18 18:06:03"
"LALONDE, Alexandre","CARGO DE DIVERSÃO","0.0","2024-07-28 08:10:56"
"Szabolcs Szalai","GASOLINA","52.25","2024-01-02 11:47:43"
"Mohamed Amin","Água Mineral","4.5","2024-11-28 00:07:07"
"NMAMOUYE NANCY BIROCHE","FALĺN 001 001","470.0","2024-03-06 09:45:14"
"DANIEL KEITH","Roupa","12.0","2024-09-15 16:16:02"
"Andrew","Software license subscription","117.0","2024-11-12 17:47:33"
"Taimoor Diba","Tarjeta de Crédito","32.3","2024-09-09 12:42:14"
"Mr. S. S. Dudhane","WATER TANK (200 LITERS)","129.9","2024-01-20 22:31:58"
"Fredrick Davies","Food","300.0","2024-06-04 14:29:24"
"James Jeffery","Office Supplies & Stationary","121.23","2024-05-11 11:20:10"
"HUNG VO THUAN","Café","14.1","2024-04-04 09:06:39"
"Chaturvedi, Ashish","Margarine - 1Kg","38.0","2024-02-12 17:11:21"
"Ibrahim, Bello","Stationary","41.0","2024-09-01 14:15:13"
"JOVANOVIĆ, Vesna","Equipments","357.62","2024-12-30 10:54:57"
"Safiyyah Peter","Fuel","168.0","2024-04-24 17:06:04"
"KRISHNAN CHANDRA RAO","MICROWAVE OVEN","1250.0","2024-05-27 14:58:14"
"Fernando Guimarães","Telefone","1186.75","2024-05-04 15:30:45"
"Baldwin, Trevor","Necktie","33.0","2024-07-03 14:11:40"
"Abra","Álcool","12.22","2024-01-01 01:18:26"
"DAVID","GASOLINA","97.5","2024-02-25 10:06:22"
"Jonathan M.","1.00 XERÉM 2015 QUADRILHO A/R (BOTA ACIMA) LOTE 5","3.0","2024-07-11 11:04:37"
"Peter Sutton","A book of stamps","14.0","2024-02-18 17:59:33"
"KAYANI JAWWAD","2500 envelopes","78.0","2024-03-11 11:37:22"
"Mrs. Avril Kunze","Office Supplies","103.03","2024-01-01 15:19:27"
"ODEKA CHIDI CHINEDU","Fuel","132.0","2024-01-25 02:46:27"
"P.S. MONTY","R$ 50,00","96.43","2024-07-16 11:44:51"
"MILLICENT","Cold and flu medicine","3.98","2024-07-28 15:28:52"
"Joseph O. Eguavoen","Office supplies","20.0","2024-08-24 01:38:15"
"Ndubuisi Ifeanyi","CAR INSURANCE- 34000.00","2793.0","2024-02-18 10:12:35"
"Peter","MUSCLE & FIBRE DIETARY SUPPLEMENT 175G","22.0","2024-08-23 05:38:24"
"Stacey Jones","Café","10.15","2024-02-22 12:42:28"
"Fernando Johansson","Cadastro de Veiculo","122.64","2024-09-20 18:14:37"
"KABIRU, ABBA M","Cattle Ranch","30.0","2024-06-29 17:42:50"
"Mrs. Mary Ann Pike","Pasta, rascunhos","10.21","2024-06-01 16:03:36"
"RONALD KWAN BILL","Vestido de bambu","268.0","2024-01-01 13:30:14"
"TERRY SHEFORD","Servi├žos de Telecomunica├ž├úes (VOIP)","13.0","2024-05-31 14:54:22"
"RUBEN PEREZ","PECUNHIA DE 30 KILOS","255.0","2024-12-19 17:53:33"
"LIM YAN SENG","Govt Personnel","11.0","2024-06-20 16:09:30"
"BURKE, MINISTER,ROBERT","CORRESPONGENTE","19.72","2024-01-18 09:54:56"
"Kevin","Telephone","11.5","2024-12-05 04:53:32"
"Wayne Smith","Laser printer","160.0","2024-09-16 06:12:39"
"Mrs. Yvette Kling","Aluminum foil","53.93","2024-10-27 17:27:56"
"Junior W. Stephens","Fleet Services","330.0","2024-03-06 11:37:47"
"Randhawla, Jitindra","Laptop","1823.0","2024-08-12 05:01:47"
"Shen Chunzhao","Uniforms","37.0","2024-09-18 00:29:27"
"Khaled Mohammed Al-Khaldi","SALARY","4660.0","2024-07-28 13:31:21"
"Mrs. Adebambo Adewumi","Job and Ministry of Trade and Industry","14.0","2024-05-12 23:38:27"
"Barnabas Ikidime","Stationary","36.0","2024-12-27 16:38:07"
"Eric Starr","refill ink cartridge","8.11","2024-04-04 09:07:21"
"JOSHUA CURTIS","Disinfectante para Mão (Disinfectant for Hand)","7.94","2024-04-07 08:27:24"
"Eric","Purchases made by the government","22.0","2024-01-07 17:07:57"
"Petr","Casa de 2 andares com piscina","1000000.0","2024-11-20 12:01:51"
"Patricia MARSHALL","Government","175.0","2024-02-01 10:00:00"
"VENKATESH, SHYAM","White board","84.9","2024-01-16 03:53:24"
"Mrs. Lorene Smith","Thematics","5.97","2024-02-01 07:04:22"
"Rudolph, Roy","GEARBOX","175.5","2024-04-24 06:47:32"
"Mrs. Krista Grimes","1,400,000,000","1400000.0","2024-06-26 12:35:05"
"Eric Satre","Xerox T41 Printer","189.0","2024-12-10 14:57:32"
"Liesl Smerdon","CORD CUTTER","105.95","2024-07-14 18:29:05"
"Preston, George","Automobile","23757.0","2024-10-13 21:26:49"
"Peter Richardson","Black T-shirt","24.64","2024-10-25 11:57:52"
"Smith James","Toyota Camry","29777.0","2024-01-04 15:53:24"
"HAYAT, UMAR","LIFE INSURANCE","2900.0","2024-11-30 23:47:04"
"Dave","Acessórios para computadores","4.0","2024-05-24 13:25:42"
"Soumya Chatterjee","News Paper","3.26","2024-02-16 11:42:14"
"George Richard","Alcohol","17.0","2024-07-11 14:56:40"
"Shin, Sue-Jin","Purchase - Office Supplies","88.09","2024-07-22 17:49:07"
"Mrs. Fidelia W. Canterbury","Insurance premiums","1784.0","2024-09-14 07:08:33"
"Fredrick B. Pryor","Mentholatum Syrup 100 ml","1.09","2024-04-26 16:44:07"
"Ashish Dabhi","LAPTOP","3274.0","2024-10-03 12:51:08"
"Tilak Jayamaha","MISC - HOME DELIVERY","50.0","2024-04-21 18:41:36"
"Sonam Lama","Stapler","32.11","2024-09-27 15:13:03"
"Ashley Eaton","Margarine","165.17","2024-01-01 14:13:38"
"Tatenda A Chisango","Eletronics","1023.13","2024-08-26 17:10:14"
"YAMAMOTO, Shen","Servi├žos de consultoria","496.75","2024-12-27 11:01:21"
"EKWUEME, CHIJIOKE E","Furniture","1490.0","2024-03-08 11:01:14"
"Adeola, Judith Oluseye","KIT KIT 1200W OI232 INSTA-OFF-INSTANT WATER HEATER (1)","1273.0","2024-05-01 01:50:23"
"Ian Beattie","Eletronicos e acessorios","590.0","2024-07-20 10:52:37"
"John","Medicines","68.92","2024-10-28 21:05:23"
"Oluwatobi David","Items purchased for government","1841.92","2024-06-23 11:29:16"
"Harold Heinrich","Gondola","1653.7","2024-02-16 18:55:08"
"S Sylvia","CARTÃO DE CREDITO GARANTIA","4.4","2024-03-24 19:23:23"
"CARNES ANTHONY","Facturamento de materiais de construção","249.99","2024-12-17 16:49:19"
"Mrs. Lorraine Chambliss","Food / beverage / catering","10.26","2024-01-29 17:17:00"
"PANCHAPAKA SANKARAMURTHY","Government","1.0","2024-01-10 01:42:52"
"Abdulatif, Abdulaziz","Nationalism","1.0","2024-03-13 16:56:40"
"Clerk, Govt","Two Pencils","1.12","2024-01-04 11:58:15"
"Nicholas B","Government","176.06","2024-09-27 13:11:00"
"Kim John","Defibrilador","288.0","2024-08-14 10:01:22"
"Mrs.Stephanie Smith","Credit Card","12.18","2024-01-20 02:18:29"
"Mohammed Al Suwaidi","Mobile Phone","5850.0","2024-01-01 12:33:52"
"PILLIKER, BOB","Materials","100.0","2024-01-02 16:05:06"
"Bai Đức Triều","Laptop","4783.33","2024-04-24 15:26:28"
"MARLA ESTES","Gasolina","8.49","2024-06-19 08:02:24"
"Mr. Yashpal Singh","Kyocera Document Scanner, 1","1214.0","2024-04-28 03:15:25"
"Jack","Red Berry Shampoo","8.42","2024-02-03 11:40:52"
"Mr. REUBEN OLUWALEMI ASIFAT","Laptop","1315.0","2024-03-26 10:00:00"
"James","SACAR DO PRETO","354.5","2024-12-09 16:00:00"
"Abebe Tefera",2500,"1695.0","2024-04-02 11:10:42"
"Jean-Robert Lahaie","BOLSA STV 3000 FLEX","119.84","2024-06-27 12:25:48"
"Kwatakwiire Michael","Office Furniture","1113.6","2024-06-12 12:30:59"
"MARTYNA GARUS","2022-10-20 - 2022-10-20 08:22:58 - MARTYNA GARUS - 2022-10-20 08:22:58 - 20","1766.0","2024-12-01 08:22:58"
"Mrs. Maria E. Brent","Office supplies","189.65","2024-12-14 01:54:58"
"Kate Black","Sweetened breakfast cereals and baby food","99.9","2024-08-06 00:23:07"
"Mrs. M.C. Haque","battery pack","46.9","2024-09-03 14:46:22"
"MATHEW KOMBO","Payroll Tax Form PA-1099","3.79","2024-05-30 17:46:20"
"Mohammed Noman","Purchase other goods and services","173.24","2024-01-27 09:57:02"
"Geraldine Sarita","papel higiênico","18.4","2024-11-17 22:08:18"
"John Doe","OFFICE SUPPLIES","98.46","2024-03-21 22:33:38"
"Ronald","CAPIM OBRIGADO (PURCHASED)","2.75","2024-03-27 23:02:32"
"Robert","Service","21.5","2024-11-04 09:48:12"
"Philip Langley","Microscope and other scientific equipment","5343.75","2024-04-04 10:15:01"
"BELINDA MCCARTHY","Paraquedas","267.0","2024-09-06 14:01:47"
"Lee Chin No","BOLSA DO FUNCIONARIO","232.92","2024-09-20 15:49:59"
"JELENA VUKOVIC","Lâmpada","104.63","2024-11-14 09:46:11"
"Mr. Rakesh Singh","Furniture and Furnishings","11990.0","2024-10-23 15:14:40"
"Bruce","BATERIA CELULAR VIVO 4700 MAH 10000 MAH","89.99","2024-05-26 06:15:59"
"Alana Kunz","Coca-Cola Lata 355ml","2.39","2024-02-28 17:49:15"
"Mrs. Yasmin Xavier","Gas and Diesel","2175.0","2024-12-06 12:37:00"
"DANIEL, BRADLEY","BÖLLE, MATERIAL PAD 80G 200G 300G 400G 500G 600G 700G","23.76","2024-04-23 20:39:48"
"HUNG, YAW ASAKA","Government of Ghana","333.37","2024-01-16 13:46:37"
"Mr. Raghavendra S V","Samsung Galaxy Tab A 10.1 (2019) Wi-Fi 10.1 inch Tablet 3 GB RAM 32 GB","1249.0","2024-06-25 10:26:02"
"Mrs. Aamirah Abdullah","Movies","29.99","2024-09-16 23:00:41"
"Dobby Smegma","Papel higiênico","12.1","2024-12-21 06:49:06"
"Karen Hardisty","1000 ENVELOPES GREEN INK 20333","70.0","2024-11-30 07:38:38"
"Susan J. Mayer","Computer hardware","1002.62","2024-06-23 18:41:39"
"Pranitha","Fare","135.0","2024-06-18 15:57:16"
"Diogo Alves","Gasoil","80.79","2024-06-07 16:06:31"
"Joseph R. Smith","Coffee","4.7","2024-05-27 14:50:10"
"Kristina G.","Air Conditioner","104.05","2024-08-10 00:42:36"
"BRAN LESLIE","SALAD","24.5","2024-01-11 18:02:57"
"JACKSON, KEITH","Unclassified","44.95","2024-05-08 14:37:10"
"Michael Morelli","Revendedor","220.0","2024-01-01 00:00:00"
"Alan","Venda ao Consumidor","189.92","2024-04-08 12:42:11"
"Roberta Ferreira","Tinta Vermelha","171.9","2024-01-22 16:00:49"
"Jason Campbell","Sunflower Seeds","1.57","2024-08-24 14:19:42"
"Vannak","Purchase of extractive material","0.83","2024-01-20 16:34:04"
"Gabriela Fabiola Monroy Aguilar","Sorvete de chocolate","3.75","2024-02-19 15:31:22"
"Ralph Foster","CHAIR TRANSITION FROM KINETIC TO STATIC 12KG","1330.0","2024-01-26 14:53:07"
"Susan C. Ramsdell","Drugs / Medicine","100.73","2024-01-22 02:52:02"
"Brian S. Banks","Projeto de Desenvolvimento Estratégico de Sistemas de Informação","142400.0","2024-08-11 10:05:21"
"Kiran Kakkar","FISCAL PRINTERS","2267.54","2024-03-20 11:00:16"
"LUIS MARIA DE OLIVEIRA CORREIA","ALARME PERCUSÃO","83.42","2024-02-09 22:04:36"
"President","Gasoline","934.41","2024-02-13 13:53:19"
"Fidelia Nwachukwu","1120-00-1120","234.1","2024-01-02 20:56:59"
"E.D BAGUM","TAMBOURINE","22.4","2024-09-11 17:58:42"
"SMETANA, PATRICIA","ESTOQUE FINANCEIRO","838.0","2024-04-29 13:37:42"
"Sr.Saira Bano","Detergente","62.0","2024-04-24 14:11:52"
"Anthony","Toyota","1829.0","2024-10-11 10:55:29"
"Alfredo Lawson","Papel","17.0","2024-09-28 18:56:10"
"Mary","R$ 576,00","576.0","2024-03-20 13:55:26"
"LIAO, YUEN LIANG","Desktop PC (i7 7700 + 16GB RAM + 250GB SSD + 1TB HDD)","9456.0","2024-01-19 11:06:05"
"Abdulwahab, E","Office Supplies","231.58","2024-05-17 20:14:05"
"Akpan, Nsikak Bassey","Office Furniture","1730.95","2024-11-28 17:47:58"
"Caballero, Juan","SUSTENTABILIDADE","202.89","2024-04-18 13:01:47"
"BRIAN KAWANGA ONDANGO","FUEL SALES","7.0","2024-08-29 16:58:45"
"Hugues Brassart","Material Comprado para Governo","17.16","2024-05-09 21:56:56"
"Gwendolyn","Computer Systems","730.0","2024-08-22 14:57:19"
"Lindsay B. McGowan",3100137405128,"17.87","2024-10-18 14:23:21"
"MALACAÑANG PALACE","Rice/ 100 grams","1.83","2024-03-04 16:26:08"
"BISHWAS DAS","Internet Service","92.95","2024-06-27 10:36:12"
"Salahudin Mohamed","Purchase for Government","29.99","2024-02-28 10:16:06"
"Amy","caderno","5.9","2024-07-10 21:33:50"
"Abu,","Desk","1400.0","2024-04-04 18:32:08"
